Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_full_het_group1-group3_process2_30-5-25	Run 6	-6009.54	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.14813, 29.2094, 1.91511, 22.56824, 21.81876, 0.01127, 0.60759, 0.02822, 21.99712, 100.0, 10.0, 4.90562, 0.30147, 0.44389)	5786.191109253079
output_full_het_group1-group3_process2_30-5-25	Run 1	-6010.45	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.18869, 18.92728, 1.97029, 22.39274, 25.89078, 0.0108, 0.57412, 0.02974, 30.81929, 14.02747, 10.0, 4.46792, 0.30412, 0.43983)	5620.883856529778
output_full_het_group1-group3_process2_30-5-25	Run 2	-7689.20	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.08874, 100.0, 0.77133, 2.317, 100.0, 0.27185, 1.07005, 0.73354, 14.13272, 14.95667, 4.94455, 1.86129, 0.00773, 0.53375)	8846.999745834677
output_full_het_group1-group3_process2_30-5-25	Run 7	-7814.09	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.02868, 100.0, 0.70108, 1.65183, 100.0, 0.33986, 1.19052, 0.88647, 13.40677, 16.29412, 4.37453, 1.81204, 0.00e+00, 0.51409)	8741.418542544903
output_full_het_group1-group3_process2_30-5-25	Run 8	-8072.09	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 100.0, 0.47856, 1.0, 100.0, 0.57607, 2.05024, 0.71503, 10.3415, 12.76028, 7.7484, 3.50708, 0.00359, 0.533)	11540.21211333727
output_full_group1-group2_het_process	Run 7	-7290.28	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 100.0, 0.49547, 1.0, 100.0, 0.56099, 1.81863, 0.77909, 12.01176, 13.81302, 10.0, 5.30313, 0.00561, 0.56448)	10171.04101795319
output_full_group1-group2_het_process	Run 1	-7303.92	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 100.0, 0.56723, 1.0, 100.0, 0.52051, 1.53332, 0.96541, 13.68779, 15.85173, 6.89252, 4.13143, 0.001, 0.54505)	8778.597224720192
output_full_group1-group2_het_process	Run 8	-7502.65	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 100.0, 0.74845, 1.0, 58.90086, 0.42373, 1.16405, 1.18867, 16.04013, 20.62803, 4.63008, 1.97479, 0.00e+00, 0.53303)	7160.39949933395
output_full_group1-group2_het_process	Run 4	-8529.68	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.92556, 17.90802, 1.53139, 23.06178, 21.88719, 0.18307, 0.74336, 0.0037, 1.32971, 1.07524, 2.53286, 7.79638, 0.20117, 2e-05)	6475.753120773641
output_full_group1-group2_het_process	Run 6	-8604.57	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.0, 100.0, 1.42825, 0.68455, 100.0, 0.001, 1.68295, 1.13525, 13.29421, 17.82294, 2.40115, 1.21667, 0.00e+00, 0.46644)	7953.936028696994
output_full_het_group1-group4_process1_30-5-25	Run 5	-1667.15	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.85201, 100.0, 1.35056, 12.4144, 16.97939, 0.79727, 0.43377, 4.01068, 48.9169, 100.0, 10.0, 8.42513, 0.63618, 0.05606)	0.6129586373690848
output_full_het_group1-group4_process1_30-5-25	Run 6	-7001.72	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.42996, 17.93876, 1.44087, 14.08875, 50.47828, 10.0, 6.3766, 0.13835, 20.75346, 12.65313, 1.48953, 1.58662, 0.6855, 0.33871)	6582.6189019141475
