Directory	Run	LogLikelihood	ModelParameters	ModelValues	Theta
output_proj_het_group1-group2_process5_02-7-25	Run 2	-7011.66	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.12139, 200.0, 0.66054, 2.03641, 200.0, 0.32246, 1.23147, 0.79629, 14.66404, 15.03977, 10.0, 5.00236, 0.01161, 0.57825)	8621.508013372277
output_proj_het_group1-group2_process5_02-7-25	Run 3	-7084.94	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.08277, 200.0, 0.85165, 2.13622, 62.85419, 0.27556, 0.94454, 1.0227, 18.13436, 19.15024, 7.84693, 3.89188, 0.001, 0.57241)	7044.886376726913
output_proj_het_group1-group2_process5_02-7-25	Run 4	-7432.29	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 0.77626, 1.001, 97.70672, 0.41377, 1.14992, 1.14775, 16.65597, 19.50232, 5.05086, 2.21491, 0.00e+00, 0.54126)	7229.8071743642395
output_proj_het_group1-group2_process2_02-7-25	Run 3	-7218.40	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.25869, 22.4211, 1.48008, 21.67703, 24.89662, 0.4667, 0.45335, 0.00455, 200.0, 21.38458, 8.68289, 10.0, 0.39046, 0.00699)	5832.263769706684
output_proj_het_group1-group2_process2_02-7-25	Run 2	-8180.75	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.00292, 200.0, 0.8533, 33.02436, 10.95426, 8.23758, 10.0, 0.00479, 0.46251, 15.70039, 8.77953, 10.0, 0.51456, 0.00626)	9058.680971770515
output_proj_het_group1-group2_process2_02-7-25	Run 4	-9682.01	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.2276, 200.0, 0.87564, 1.53759, 36.35102, 0.00e+00, 1.05433, 1.70557, 19.74368, 34.29359, 3.57187, 0.00e+00, 0.05829, 0.51847)	5372.315035145146
output_proj_het_group1-group2_process2_02-7-25	Run 1	-12235.72	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.03588, 27.70045, 0.00505, 0.01495, 200.0, 7.4087, 0.49411, 2.15356, 21.28621, 21.37522, 0.00e+00, 3.67723, 0.04095, 0.43093)	7109.846920875081
output_proj_het_group1-group4_process7_02-7-25	Run 8	-6464.06	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.58393, 200.0, 1.09693, 12.24467, 14.82473, 0.01343, 1.22453, 0.0271, 8.66805, 40.33765, 9.99999, 2.94475, 0.2519, 0.39908)	10668.46463322744
output_proj_het_group1-group4_process7_02-7-25	Run 6	-6637.13	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.13064, 61.42504, 1.4437, 16.96104, 21.70107, 0.12387, 0.09317, 0.09108, 32.01227, 41.02394, 2.77326, 9.9997, 0.17914, 0.50476)	7066.086956755859
output_proj_het_group1-group4_process7_02-7-25	Run 7	-7150.34	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.0, 23.51601, 1.25578, 9.42454, 35.4899, 0.09865, 0.04999, 0.35345, 23.15524, 24.02344, 1.85912, 1.12365, 0.00e+00, 0.42885)	6891.961312985081
output_proj_het_group1-group4_process7_02-7-25	Run 3	-7506.85	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.19044, 90.09622, 1.26702, 3.24767, 94.23189, 0.15166, 0.69661, 0.54873, 16.8276, 17.8306, 2.71662, 0.00036, 0.08189, 0.49881)	7692.556134952037
output_proj_het_group1-group3_process3_02-7-25	Run 4	-7726.81	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 1.05588, 2.37075, 109.39601, 0.21824, 0.8054, 1.0317, 17.9563, 19.96915, 2.97899, 1.02467, 0.00188, 0.50976)	6792.242027636564
output_proj_het_group1-group3_process3_02-7-25	Run 2	-7993.74	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 0.62654, 1.001, 200.0, 0.49683, 1.47858, 0.95956, 13.06636, 16.26151, 5.46618, 2.05105, 0.00105, 0.52227)	9030.821916657866
output_proj_het_group1-group3_process3_02-7-25	Run 5	-8335.57	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 1.00526, 0.99995, 47.88718, 0.33048, 0.8993, 1.37729, 17.60421, 23.66341, 1.82206, 0.69801, 0.00e+00, 0.44621)	6453.303706402372
output_proj_het_group1-group3_process3_02-7-25	Run 7	-9232.02	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.07597, 200.0, 1.22148, 0.17633, 200.0, 1.49739, 2.46363, 1.25877, 13.1962, 15.93285, 1.55698, 1.23584, 0.00e+00, 0.39207)	8944.601418294344
output_proj_het_group3-Amil_process6_02-7-25	Run 6	-7742.50	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.70515, 200.0, 1.15779, 11.99183, 4.86839, 0.0163, 0.05866, 0.22529, 13.58461, 7.29013, 0.5848, 4.19601, 0.00029, 0.53142)	16921.903241847875
output_proj_het_group3-Amil_process6_02-7-25	Run 8	-9269.56	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.57209, 200.0, 0.80462, 10.66825, 4.09716, 0.001, 8.36e-14, 0.33305, 10.4881, 5.50298, 0.40226, 2.59199, 0.23879, 0.43834)	20343.39066201545
output_proj_het_group1-group3_process8_02-7-25	Run 1	-6661.36	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(1.08148, 131.60008, 1.21526, 15.99398, 16.06492, 0.55758, 0.86785, 0.0193, 200.0, 200.0, 8.37173, 10.0, 0.52283, 0.43341)	7477.840053940872
output_proj_het_group1-group3_process8_02-7-25	Run 3	-6681.15	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.50201, 200.0, 1.05442, 12.60581, 10.36563, 0.00e+00, 1.47901, 0.03559, 10.28915, 200.0, 6.7712, 3.13388, 0.23254, 0.4156)	10540.592600298904
output_proj_het_group1-group3_process8_02-7-25	Run 2	-7665.20	(nu_1, nu_2, t1, nu11, nu12, me1_12, me1_21, t2, nu21, nu22, me2_12, me2_21, P1, P2)	(0.01, 200.0, 1.15652, 2.34477, 200.0, 0.155, 0.6883, 0.87645, 16.93597, 17.50511, 1.64164, 0.52269, 0.001, 0.43053)	6903.7549251718565
