Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG2-AL1	sec_cont	-300.81	615.62	144.36415354130895	553.0	382.88	0
AG2-AL1	sec_cont	-322.7	659.4	140.97042117957835	540.0	566.64	1
AG2-AL1	sec_cont	-293.9	601.8	138.6209141599187	531.0	426.8	2
AG2-AL1	sec_cont	-296.99	607.98	141.75359018613156	543.0	385.22	3
AG2-AL1	sec_cont	-277.9	569.8	142.7978155282025	547.0	291.34	4
AG2-AL1	sec_cont	-311.0	636.0	142.7978155282025	547.0	441.22	5
AG2-AL1	sec_cont	-337.25	688.5	143.58098453475571	550.0	508.16	6
AG2-AL1	sec_cont	-264.91	543.82	129.4839424167979	496.0	320.59	7
AG2-AL1	sec_cont	-306.55	627.1	145.14732254786216	556.0	443.21	8
AG2-AL1	sec_cont	-310.56	635.12	148.80211124511047	570.0	352.86	9
AG2-AL1	sec_cont	-331.47	676.94	152.4568999423588	584.0	522.97	10
AG2-AL1	sec_cont	-290.38	594.76	157.41697031719582	603.0	299.29	11
AG2-AL1	sec_cont	-291.22	596.44	148.80211124511047	570.0	339.87	12
AG2-AL1	sec_cont	-319.47	652.94	148.279998574075	568.0	486.34	13
AG2-AL1	sec_cont	-300.31	614.62	154.02323795546522	590.0	326.46	14
AG2-AL1	sec_cont	-281.57	577.14	143.05887186372024	548.0	307.82	15
AG2-AL1	sec_cont	-312.93	639.86	141.49253385061382	542.0	406.74	16
AG2-AL1	sec_cont	-289.45	592.9	149.32422391614597	572.0	339.36	17
AG2-AL1	sec_cont	-302.81	619.62	150.3684492582169	576.0	374.94	18
AG2-AL1	sec_cont	-283.87	581.74	151.6737309358056	581.0	264.14	19
AG2-AL1	sec_cont	-294.17	602.34	139.9261958375074	536.0	353.88	20
AG2-AL1	sec_cont	-304.63	623.26	149.5852802516637	573.0	362.97	21
AG2-AL1	sec_cont	-312.72	639.44	148.54105490959273	569.0	451.82	22
AG2-AL1	sec_cont	-310.14	634.28	148.01894223855726	567.0	408.26	23
AG2-AL1	sec_cont	-332.3	678.6	146.71366056096858	562.0	540.06	24
AG2-AL1	sec_cont	-325.88	665.76	144.88626621234442	555.0	427.18	25
AG2-AL1	sec_cont	-310.7	635.4	150.10739292269918	575.0	411.49	26
AG2-AL1	sec_cont	-308.18	630.36	142.53675919268477	546.0	393.84	27
AG2-AL1	sec_cont	-290.05	594.1	149.5852802516637	573.0	318.14	28
AG2-AL1	sec_cont	-300.39	614.78	140.18725217302514	537.0	370.76	29
AG2-AL1	sec_cont	-316.4	646.8	142.53675919268477	546.0	440.7	30
AG2-AL1	sec_cont	-321.64	657.28	137.31563248233002	526.0	498.98	31
AG2-AL1	sec_cont	-314.79	643.58	158.98330833030224	609.0	347.51	32
AG2-AL1	sec_cont	-284.7	583.4	135.22718179818813	518.0	365.99	33
AG2-AL1	sec_cont	-309.95	633.9	147.23577323200405	564.0	424.33	34
AG2-AL1	sec_cont	-300.47	614.94	142.53675919268477	546.0	388.77	35
AG2-AL1	sec_cont	-288.92	591.84	141.49253385061382	542.0	312.32	36
AG2-AL1	sec_cont	-307.74	629.48	147.75788590303952	566.0	422.86	37
AG2-AL1	sec_cont	-315.69	645.38	149.32422391614597	572.0	419.84	38
AG2-AL1	sec_cont	-274.75	563.5	141.75359018613156	543.0	354.88	39
AG2-AL1	sec_cont	-297.3	608.6	139.40408316647193	534.0	380.21	40
AG2-AL1	sec_cont	-293.26	600.52	148.01894223855726	567.0	325.66	41
AG2-AL1	sec_cont	-308.57	631.14	148.54105490959273	569.0	443.62	42
AG2-AL1	sec_cont	-305.03	624.06	142.27570285716703	545.0	359.7	43
AG2-AL1	sec_cont	-323.85	661.7	151.6737309358056	581.0	439.66	44
