Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AG2	sec_cont	-585.27	1184.54	147.5291959816904	904.0	1346.67	74
AG1-AG2	sec_cont	-542.89	1099.78	151.60909631304247	929.0	851.77	75
AG1-AG2	sec_cont	-596.39	1206.78	152.42507637931288	934.0	1147.51	76
AG1-AG2	sec_cont	-584.29	1182.58	145.57084382264142	892.0	953.18	77
AG1-AG2	sec_cont	-568.63	1151.26	152.09868435280472	932.0	705.18	78
AG1-AG2	sec_cont	-568.56	1151.12	152.91466441907514	937.0	789.03	79
AG1-AG2	sec_cont	-561.4	1136.8	151.44590029978838	928.0	765.39	80
AG1-AG2	sec_cont	-612.42	1238.84	151.77229232629654	930.0	1114.65	81
AG1-AG2	sec_cont	-523.32	1060.64	146.06043186240368	895.0	575.16	82
AG1-AG2	sec_cont	-597.08	1208.16	148.34517604796082	909.0	891.88	83
AG1-AG2	sec_cont	-555.0	1124.0	151.93548833955063	931.0	670.79	84
AG1-AG2	sec_cont	-559.11	1132.22	146.71321591542	899.0	766.17	85
AG1-AG2	sec_cont	-578.51	1171.02	146.55001990216593	898.0	1819.29	86
AG1-AG2	sec_cont	-563.5	1141.0	148.67156807446898	911.0	886.28	87
AG1-AG2	sec_cont	-584.27	1182.54	149.81394016724755	918.0	847.47	88
AG1-AG2	sec_cont	-583.0	1180.0	147.6923919949445	905.0	1213.39	89
AG1-AG2	sec_cont	-530.04	1074.08	153.2410564455833	939.0	526.65	90
AG1-AG2	sec_cont	-562.93	1139.86	145.24445179613326	890.0	1093.66	91
AG1-AG2	sec_cont	-546.05	1106.1	147.5291959816904	904.0	670.18	92
AG1-AG2	sec_cont	-592.54	1199.08	152.75146840582104	936.0	926.55	93
AG1-AG2	sec_cont	-604.75	1223.5	153.89384049859962	943.0	1588.91	94
AG1-AG2	sec_cont	-584.82	1183.64	146.22362787565774	896.0	2530.34	95
AG1-AG2	sec_cont	-554.45	1122.9	148.34517604796082	909.0	799.02	96
AG1-AG2	sec_cont	-564.41	1142.82	153.0778604323292	938.0	655.65	97
AG1-AG2	sec_cont	-581.69	1177.38	156.668172723919	960.0	815.57	98
AG1-AG2	sec_cont	-569.44	1152.88	145.73403983589552	893.0	865.78	99
