Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG1-AG2	anc_mig	-567.35	1148.7	136.74386448195372	882.0	1290.35	74
AG1-AG2	anc_mig	-546.93	1107.86	140.15470917424736	904.0	1995.58	75
AG1-AG2	anc_mig	-562.27	1138.54	137.2089796672665	885.0	829.99	76
AG1-AG2	anc_mig	-547.19	1108.38	139.3795171987261	899.0	1168.31	77
AG1-AG2	anc_mig	-538.82	1091.64	137.98417164278777	890.0	644.18	78
AG1-AG2	anc_mig	-575.95	1165.9	142.94540028612397	922.0	1051.84	79
AG1-AG2	anc_mig	-569.25	1152.5	142.17020831060267	917.0	1040.61	80
AG1-AG2	anc_mig	-571.7	1157.4	149.1469360902942	962.0	736.38	81
AG1-AG2	anc_mig	-578.35	1170.7	144.80586102737504	934.0	1401.59	82
AG1-AG2	anc_mig	-571.2	1156.4	143.1004386812282	923.0	1041.31	83
AG1-AG2	anc_mig	-563.58	1141.16	139.53455559383033	900.0	794.92	84
AG1-AG2	anc_mig	-565.09	1144.18	144.18570744695802	930.0	1396.39	85
AG1-AG2	anc_mig	-594.53	1203.06	144.34074584206226	931.0	1310.37	86
AG1-AG2	anc_mig	-569.53	1153.06	142.01516991549843	916.0	776.62	87
AG1-AG2	anc_mig	-608.49	1230.98	143.8756306567495	928.0	2028.37	88
AG1-AG2	anc_mig	-594.02	1202.04	141.23997793997714	911.0	1554.32	89
AG1-AG2	anc_mig	-607.67	1229.34	142.17020831060267	917.0	1282.86	90
AG1-AG2	anc_mig	-551.82	1117.64	138.6043252232048	894.0	926.25	91
AG1-AG2	anc_mig	-542.8	1099.6	139.84463238403885	902.0	792.95	92
AG1-AG2	anc_mig	-562.94	1139.88	139.99967077914312	903.0	938.77	93
AG1-AG2	anc_mig	-580.7	1175.4	149.1469360902942	962.0	852.39	94
AG1-AG2	anc_mig	-577.65	1169.3	138.6043252232048	894.0	1812.42	95
AG1-AG2	anc_mig	-625.65	1265.3	142.7903618910197	921.0	2199.72	96
AG1-AG2	anc_mig	-589.36	1192.72	141.86013152039416	915.0	1406.68	97
AG1-AG2	anc_mig	-591.8	1197.6	136.4337876917452	880.0	1177.11	98
AG1-AG2	anc_mig	-572.91	1159.82	140.92990114976863	909.0	974.21	99
