Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG2-AL2	sec_cont	-476.35	966.7	95.8831904270413	663.0	944.64	0
AG2-AL2	sec_cont	-419.78	853.56	91.3999643286427	632.0	766.06	1
AG2-AL2	sec_cont	-448.31	910.62	86.91673823024408	601.0	833.74	2
AG2-AL2	sec_cont	-427.01	868.02	95.59395003359623	661.0	779.37	3
AG2-AL2	sec_cont	-378.39	770.78	87.35059882041169	604.0	658.93	4
AG2-AL2	sec_cont	-411.01	836.02	91.97844511553284	636.0	753.69	5
AG2-AL2	sec_cont	-393.43	800.86	94.00312786964834	650.0	588.09	6
AG2-AL2	sec_cont	-422.6	859.2	91.68920472208777	634.0	814.41	7
AG2-AL2	sec_cont	-442.58	899.16	94.87084904998355	656.0	861.34	8
AG2-AL2	sec_cont	-401.0	816.0	93.56926727948073	647.0	660.69	9
AG2-AL2	sec_cont	-453.89	921.78	95.16008944342863	658.0	832.88	10
AG2-AL2	sec_cont	-419.76	853.52	89.80914216469479	621.0	830.93	11
AG2-AL2	sec_cont	-396.92	807.84	91.54458452536522	633.0	601.67	12
AG2-AL2	sec_cont	-403.71	821.42	94.43698845981595	653.0	618.02	13
AG2-AL2	sec_cont	-454.5	923.0	94.29236826309341	652.0	852.21	14
AG2-AL2	sec_cont	-460.72	935.44	95.30470964015116	659.0	965.71	15
AG2-AL2	sec_cont	-468.04	950.08	90.82148354175254	628.0	983.19	16
AG2-AL2	sec_cont	-455.44	924.88	95.16008944342863	658.0	982.63	17
AG2-AL2	sec_cont	-438.72	891.44	95.30470964015116	659.0	898.88	18
AG2-AL2	sec_cont	-435.12	884.24	94.43698845981595	653.0	911.07	19
AG2-AL2	sec_cont	-488.44	990.88	97.76325298443427	676.0	952.26	20
AG2-AL2	sec_cont	-430.31	874.62	92.41230570570045	639.0	821.04	21
AG2-AL2	sec_cont	-421.38	856.76	89.23066137780465	617.0	712.93	22
AG2-AL2	sec_cont	-428.51	871.02	94.87084904998355	656.0	835.07	23
