Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AG2-AL2	anc_mig	-444.72	903.44	63.39613733578914	600.0	895.33	0
AG2-AL2	anc_mig	-424.61	863.22	66.88292488925754	633.0	821.86	1
AG2-AL2	anc_mig	-439.06	892.12	66.46028397368562	629.0	903.17	2
AG2-AL2	anc_mig	-416.0	846.0	64.66406008250492	612.0	759.84	3
AG2-AL2	anc_mig	-462.2	938.4	71.00367381608383	672.0	1010.48	4
AG2-AL2	anc_mig	-436.15	886.3	70.58103290051191	668.0	848.19	5
AG2-AL2	anc_mig	-432.3	878.6	68.04518740708035	644.0	727.77	6
AG2-AL2	anc_mig	-415.93	845.86	65.08670099807685	616.0	692.74	7
AG2-AL2	anc_mig	-415.21	844.42	68.04518740708035	644.0	683.62	8
AG2-AL2	anc_mig	-440.09	894.18	68.57348855154525	649.0	831.96	9
AG2-AL2	anc_mig	-403.58	821.16	67.62254649150842	640.0	665.31	10
AG2-AL2	anc_mig	-442.41	898.82	67.19990557593648	636.0	855.52	11
AG2-AL2	anc_mig	-440.72	895.44	67.19990557593648	636.0	787.45	12
AG2-AL2	anc_mig	-410.7	835.4	63.924438480254054	605.0	670.49	13
AG2-AL2	anc_mig	-413.35	840.7	67.30556580482947	637.0	663.45	14
AG2-AL2	anc_mig	-436.01	886.02	67.30556580482947	637.0	837.09	15
AG2-AL2	anc_mig	-416.07	846.14	66.67160443147158	631.0	758.15	16
AG2-AL2	anc_mig	-426.8	867.6	73.32819885172944	694.0	645.18	17
AG2-AL2	anc_mig	-440.49	894.98	69.52443061158209	658.0	879.42	18
AG2-AL2	anc_mig	-434.61	883.22	67.83386694929438	642.0	758.75	19
AG2-AL2	anc_mig	-417.2	848.4	65.72066237143474	622.0	733.79	20
AG2-AL2	anc_mig	-394.59	803.18	68.78480900933121	651.0	630.2	21
AG2-AL2	anc_mig	-428.05	870.1	64.55839985361195	611.0	887.52	22
AG2-AL2	anc_mig	-374.28	762.56	66.24896351589965	627.0	518.09	23
AG2-AL2	anc_mig	-427.32	868.64	70.15839198493998	664.0	677.33	24
AG2-AL2	anc_mig	-463.64	941.28	68.57348855154525	649.0	1027.71	25
AG2-AL2	anc_mig	-430.33	874.66	66.35462374479263	628.0	924.97	26
AG2-AL2	anc_mig	-413.88	841.76	66.46028397368562	629.0	733.51	27
AG2-AL2	anc_mig	-427.4	868.8	68.99612946711719	653.0	748.78	28
AG2-AL2	anc_mig	-424.94	863.88	70.26405221383297	665.0	714.67	29
AG2-AL2	anc_mig	-394.26	802.52	69.52443061158209	658.0	558.66	30
AG2-AL2	anc_mig	-459.76	933.52	66.03764305811369	625.0	1008.79	31
AG2-AL2	anc_mig	-447.56	909.12	68.57348855154525	649.0	877.83	32
AG2-AL2	anc_mig	-416.5	847.0	66.67160443147158	631.0	624.4	33
AG2-AL2	anc_mig	-410.82	835.64	67.09424534704351	635.0	661.31	34
AG2-AL2	anc_mig	-444.54	903.08	63.079156649110196	597.0	1012.81	35
AG2-AL2	anc_mig	-430.74	875.48	64.45273962471896	610.0	924.69	36
AG2-AL2	anc_mig	-434.78	883.56	65.29802145586281	618.0	922.1	37
AG2-AL2	anc_mig	-413.85	841.7	59.59236909564179	564.0	743.66	38
AG2-AL2	anc_mig	-440.43	894.86	66.35462374479263	628.0	836.16	39
AG2-AL2	anc_mig	-421.12	856.24	66.98858511815052	634.0	748.28	40
AG2-AL2	anc_mig	-414.29	842.58	67.7282067204014	641.0	668.44	41
AG2-AL2	anc_mig	-407.23	828.46	66.03764305811369	625.0	645.24	42
AG2-AL2	anc_mig	-442.65	899.3	67.41122603372246	638.0	851.56	43
AG2-AL2	anc_mig	-403.43	820.86	66.88292488925754	633.0	663.39	44
AG2-AL2	anc_mig	-442.97	899.94	66.03764305811369	625.0	918.02	45
AG2-AL2	anc_mig	-458.38	930.76	66.35462374479263	628.0	967.07	46
AG2-AL2	anc_mig	-409.55	833.1	66.35462374479263	628.0	679.2	47
AG2-AL2	anc_mig	-390.05	794.1	65.72066237143474	622.0	562.78	48
AG2-AL2	anc_mig	-445.79	905.58	70.15839198493998	664.0	957.69	49
AG2-AL2	anc_mig	-431.69	877.38	64.45273962471896	610.0	869.51	50
AG2-AL2	anc_mig	-423.14	860.28	68.78480900933121	651.0	777.78	51
AG2-AL2	anc_mig	-467.91	949.82	68.67914878043824	650.0	907.85	52
AG2-AL2	anc_mig	-464.95	943.9	70.89801358719086	671.0	951.02	53
AG2-AL2	anc_mig	-415.62	845.24	66.67160443147158	631.0	686.32	54
AG2-AL2	anc_mig	-401.36	816.72	68.15084763597332	645.0	671.14	55
