Pops	Model	Likelihood	AIC	Theta	sfs_sum	chi-squared	bootstrap
AL1-AL2	sec_cont	-581.57	1177.14	205.4198415620764	1014.0	625.11	73
AL1-AL2	sec_cont	-588.87	1191.74	206.23017624279467	1018.0	633.89	74
AL1-AL2	sec_cont	-598.74	1211.48	204.00175587081947	1007.0	679.38	75
AL1-AL2	sec_cont	-612.55	1239.1	209.47151496566767	1034.0	775.06	76
AL1-AL2	sec_cont	-601.24	1216.48	202.98883751992167	1002.0	721.86	77
AL1-AL2	sec_cont	-595.31	1204.62	208.05342927441072	1027.0	680.9	78
AL1-AL2	sec_cont	-595.81	1205.62	207.04051092351293	1022.0	657.32	79
AL1-AL2	sec_cont	-585.97	1185.94	204.60950688135816	1010.0	684.6	80
AL1-AL2	sec_cont	-566.5	1147.0	205.82500890243554	1016.0	635.22	81
AL1-AL2	sec_cont	-589.88	1193.76	204.4069232111786	1009.0	660.9	82
AL1-AL2	sec_cont	-602.57	1219.14	209.06634762530854	1032.0	671.48	83
AL1-AL2	sec_cont	-591.65	1197.3	207.44567826387203	1024.0	652.27	84
AL1-AL2	sec_cont	-580.47	1174.94	205.4198415620764	1014.0	607.49	85
AL1-AL2	sec_cont	-571.71	1157.42	203.7991722006399	1006.0	589.14	86
AL1-AL2	sec_cont	-567.36	1148.72	204.00175587081947	1007.0	584.93	87
AL1-AL2	sec_cont	-575.41	1164.82	203.59658853046034	1005.0	640.4	88
AL1-AL2	sec_cont	-577.37	1168.74	199.74749879704865	986.0	640.03	89
AL1-AL2	sec_cont	-593.96	1201.92	200.96300081812603	992.0	797.1	90
AL1-AL2	sec_cont	-621.13	1256.26	204.20433954099903	1008.0	751.35	91
AL1-AL2	sec_cont	-618.41	1250.82	209.8766823060268	1036.0	743.78	92
AL1-AL2	sec_cont	-594.51	1203.02	203.3940048602808	1004.0	734.19	93
AL1-AL2	sec_cont	-596.67	1207.34	208.25601294459028	1028.0	667.74	94
AL1-AL2	sec_cont	-617.91	1249.82	204.00175587081947	1007.0	812.22	95
AL1-AL2	sec_cont	-588.64	1191.28	206.83792725333336	1021.0	642.56	96
AL1-AL2	sec_cont	-552.53	1119.06	205.62242523225598	1015.0	553.42	97
AL1-AL2	sec_cont	-605.43	1224.86	206.0275925726151	1017.0	777.53	98
AL1-AL2	sec_cont	-586.23	1186.46	201.36816815848516	994.0	664.93	99
